,team_names,urls
0,Manchester-United,https://fbref.com/en/squads/19538871/Manchester-United-Stats
1,Leeds-United,https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats
2,Leicester-City,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats
3,Fulham,https://fbref.com/en/squads/fd962109/Fulham-Stats
4,West-Ham-United,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats
5,Nottingham-Forest,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats
6,Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
7,Bournemouth,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats
8,Newcastle-United,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
9,Brentford,https://fbref.com/en/squads/cd051869/Brentford-Stats
10,Southampton,https://fbref.com/en/squads/33c895d4/Southampton-Stats
11,Brighton-and-Hove-Albion,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
12,Wolverhampton-Wanderers,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
13,Manchester-City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
14,Chelsea,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
15,Crystal-Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
16,Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
17,Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
18,Aston-Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
19,Tottenham-Hotspur,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats
